RegionName,PTR,ROI,COC,RStdDev
77048,6.841138659,0.248801747,0.228231304,33.66578685
28460,13.19390149,-0.05629602,0.076923818,50.34865683
32011,12.8290331,0.238360886,0.084258811,50.34865683
91208,36.88496188,0.250726996,-0.074764065,152.3004131
49319,11.10364397,0.051585688,0.105832616,82.50808041
33523,6.32183908,0.168652364,0.244081832,73.6230517
7746,17.32489775,0.046842434,0.034398229,81.28204235
46228,11.38157895,0.088343125,0.102324329,36.648403
77013,6.869834711,0.190772261,0.226445508,33.66578685
60455,8.805215022,-0.000825285,0.174632061,52.30903071
33412,17.00993677,0.27437677,0.03663405,73.50679662
44301,6.356447689,-0.154194292,0.180338613,24.93699544
11782,13.16781697,-0.001653413,0.091240077,81.28204235
46122,12.73391813,0.013766153,0.081170401,36.648403
53129,18.5516808,0.093895811,0.018487583,24.07240001
85757,13.43965259,0.069738614,0.071432176,42.83554019
10530,19.26444274,0.138333264,0.015230047,81.28204235
27592,11.81978799,0.060076271,0.101809228,50.50621299
7730,10.8416411,0.015181344,0.13877674,81.28204235
97038,16.92423267,0.334074956,0.036448076,108.107778
11961,9.141743354,0.087758252,0.186578425,81.28204235
46303,9.194395797,0.070870068,0.165221049,52.30903071
1748,21.34862135,0.103758796,-0.002196026,98.07949625
78732,26.65649028,0.060606401,-0.03286842,53.17541725
66205,17.87407407,0.291465516,0.024882458,42.54244579
22039,31.68542992,-0.036450645,-0.055111326,40.40026142
19057,11.89533861,0.014845159,0.102065909,44.04448509
27006,15.82827407,-0.01823219,0.043785334,37.09667459
60478,5.900953493,-0.168357832,0.274487925,52.30903071
74429,9.797404242,-0.020554123,0.125774994,17.97541783
32976,13.35199005,0.238270459,0.077759539,100.2566774
33715,48.30518414,0.173253189,-0.095528135,73.6230517
87113,21.40629872,0.05524674,-0.0022747,28.96700856
29860,14.45802005,0.039235942,0.057878177,28.70621481
28164,11.0969697,0.10482236,0.114152253,70.56674724
27525,9.640753828,0.072127948,0.144806403,50.50621299
90502,19.6015246,0.243268012,0.0121794,152.3004131
30276,13.22222222,0.229870458,0.080954541,82.5182468
